"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"1400000US12083001700","Census Tract 17, Marion County, Florida","5156","4336","1116","2487","19","30","1","683","820","789","92","21","6","2","608","5","2","0","47","0","0","6","0","0","0","27","10","0","0","12","1","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083001800","Census Tract 18, Marion County, Florida","1634","1450","130","1226","10","0","1","83","184","176","44","4","0","3","102","3","0","0","18","1","0","0","0","0","1","7","5","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083001900","Census Tract 19, Marion County, Florida","2585","2255","1752","274","10","49","0","170","330","322","24","66","13","1","191","1","0","0","19","0","0","4","2","1","0","8","1","0","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002001","Census Tract 20.01, Marion County, Florida","2665","2411","1859","394","11","31","2","114","254","246","34","36","5","0","145","3","0","0","22","1","0","0","0","0","0","8","3","2","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002002","Census Tract 20.02, Marion County, Florida","4283","3738","2511","1000","6","59","3","159","545","491","68","68","18","5","292","4","0","1","32","1","2","0","0","0","0","51","11","5","0","25","2","0","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0",
"1400000US12083002100","Census Tract 21, Marion County, Florida","5100","4618","4283","192","6","61","0","76","482","475","40","124","41","3","245","6","0","0","13","0","0","0","2","1","0","6","2","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002201","Census Tract 22.01, Marion County, Florida","3769","3387","2843","278","8","102","2","154","382","358","42","54","26","2","208","5","4","2","8","0","0","1","1","0","5","15","1","2","0","2","2","0","6","0","0","0","0","0","0","0","1","1","0","0","0","0","9","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002202","Census Tract 22.02, Marion County, Florida","3693","3441","3232","117","5","21","1","65","252","242","25","41","9","1","152","5","0","0","7","0","0","2","0","0","0","10","1","0","0","6","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002203","Census Tract 22.03, Marion County, Florida","7089","6424","5055","887","28","219","1","234","665","627","86","94","45","10","352","4","0","3","23","1","0","2","0","5","2","35","6","2","2","4","1","0","14","0","6","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002302","Census Tract 23.02, Marion County, Florida","6637","6062","5164","577","13","102","3","203","575","545","57","137","56","0","284","1","0","2","2","0","0","2","0","2","2","23","5","0","1","11","2","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0",
