"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"1400000US22061960900","Census Tract 9609, Lincoln Parish, Louisiana","2369","2312","346","1891","10","37","0","28","57","51","20","12","0","0","7","5","0","3","3","0","0","0","0","1","0","6","2","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22061961000","Census Tract 9610, Lincoln Parish, Louisiana","7490","7244","3976","3017","55","135","1","60","246","225","62","44","27","0","66","7","6","1","7","0","0","2","3","0","0","12","7","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","2","2","0","0","1","0","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0",
"1400000US22063040101","Census Tract 401.01, Livingston Parish, Louisiana","3189","2976","2696","211","5","4","1","59","213","201","31","60","10","1","95","2","0","0","0","0","0","0","0","2","0","7","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040102","Census Tract 401.02, Livingston Parish, Louisiana","3421","3237","2667","515","4","4","0","47","184","177","19","70","10","4","68","1","0","0","2","0","0","0","3","0","0","6","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040103","Census Tract 401.03, Livingston Parish, Louisiana","4201","3953","3432","318","7","5","0","191","248","238","29","72","7","2","125","1","0","0","1","0","0","0","0","1","0","7","1","0","0","3","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040202","Census Tract 402.02, Livingston Parish, Louisiana","4976","4765","4660","39","22","5","0","39","211","210","33","81","6","4","82","0","0","0","0","0","0","1","0","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040203","Census Tract 402.03, Livingston Parish, Louisiana","2312","2202","2166","22","4","0","0","10","110","103","10","30","0","0","58","0","2","0","1","0","0","0","0","0","2","7","0","1","0","1","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040204","Census Tract 402.04, Livingston Parish, Louisiana","4673","4460","4240","157","11","23","0","29","213","203","23","64","15","2","99","0","0","0","0","0","0","0","0","0","0","9","0","0","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040304","Census Tract 403.04, Livingston Parish, Louisiana","5754","5415","5160","145","22","12","0","76","339","331","12","171","26","1","111","0","0","0","10","0","0","0","0","0","0","7","2","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040305","Census Tract 403.05, Livingston Parish, Louisiana","5667","5347","4938","297","20","22","8","62","320","305","35","105","12","8","136","4","0","0","2","0","0","1","0","1","1","13","3","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040306","Census Tract 403.06, Livingston Parish, Louisiana","4735","4473","4192","174","5","44","1","57","262","253","16","90","8","0","131","2","0","0","4","0","0","0","0","2","0","9","4","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040307","Census Tract 403.07, Livingston Parish, Louisiana","4296","4038","3732","196","35","47","0","28","258","241","18","78","2","1","140","0","0","0","1","0","0","0","0","1","0","12","9","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040308","Census Tract 403.08, Livingston Parish, Louisiana","5883","5439","5132","199","27","13","1","67","444","440","36","159","27","0","206","0","1","0","10","0","0","0","1","0","0","4","1","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040403","Census Tract 404.03, Livingston Parish, Louisiana","3329","3084","2793","119","11","12","0","149","245","239","26","66","12","5","128","0","1","0","1","0","0","0","0","0","0","6","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040404","Census Tract 404.04, Livingston Parish, Louisiana","3401","3224","2953","144","8","60","3","56","177","167","9","41","11","3","97","0","0","0","6","0","0","0","0","0","0","10","2","1","0","1","2","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040405","Census Tract 404.05, Livingston Parish, Louisiana","3670","3398","2802","500","5","45","0","46","272","246","39","92","9","0","99","4","1","0","1","0","0","0","1","0","0","25","7","1","0","1","1","1","9","3","0","0","0","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040406","Census Tract 404.06, Livingston Parish, Louisiana","5244","4951","4561","280","10","41","2","57","293","277","22","70","18","2","163","2","0","0","0","0","0","0","0","0","0","14","3","2","0","0","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040501","Census Tract 405.01, Livingston Parish, Louisiana","3411","3215","2411","405","18","22","0","359","196","193","28","39","17","0","105","1","0","0","3","0","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040502","Census Tract 405.02, Livingston Parish, Louisiana","5971","5552","5091","306","16","33","4","102","419","409","30","100","39","5","231","0","0","0","1","0","0","3","0","0","0","9","0","3","0","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040503","Census Tract 405.03, Livingston Parish, Louisiana","3990","3626","2811","565","11","90","0","149","364","345","46","98","22","1","173","3","0","0","0","0","0","0","0","2","0","19","5","0","0","4","0","0","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040601","Census Tract 406.01, Livingston Parish, Louisiana","4559","4310","3057","1107","16","53","0","77","249","240","55","64","6","1","107","2","0","0","4","0","0","0","0","0","1","8","3","1","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040602","Census Tract 406.02, Livingston Parish, Louisiana","4241","3997","3392","373","14","42","2","174","244","226","42","50","25","0","98","0","0","0","7","0","1","1","2","0","0","18","7","0","0","0","1","0","6","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040700","Census Tract 407, Livingston Parish, Louisiana","3528","3275","2760","238","17","55","1","204","253","244","33","53","4","1","140","2","5","0","4","0","0","0","2","0","0","9","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040805","Census Tract 408.05, Livingston Parish, Louisiana","5143","4651","3818","409","22","52","6","344","492","486","48","91","24","0","307","1","0","0","15","0","0","0","0","0","0","6","0","0","0","0","0","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040807","Census Tract 408.07, Livingston Parish, Louisiana","2890","2697","2444","103","11","18","0","121","193","188","9","57","11","2","96","2","0","0","8","0","0","3","0","0","0","5","1","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040808","Census Tract 408.08, Livingston Parish, Louisiana","5098","4738","4275","179","22","75","2","185","360","340","30","83","25","1","188","4","0","0","8","0","0","0","0","1","0","18","1","0","0","0","0","0","10","0","5","2","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040809","Census Tract 408.09, Livingston Parish, Louisiana","3149","2978","2899","25","12","1","2","39","171","162","12","64","2","0","77","5","0","0","1","0","0","0","0","1","0","7","0","0","0","1","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040810","Census Tract 408.10, Livingston Parish, Louisiana","3245","3070","2968","43","7","31","0","21","175","170","15","52","29","1","71","2","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040811","Census Tract 408.11, Livingston Parish, Louisiana","2341","2173","2027","54","11","21","1","59","168","162","9","43","3","0","103","1","0","2","0","0","0","0","0","1","0","5","0","1","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040812","Census Tract 408.12, Livingston Parish, Louisiana","8021","7356","5413","1538","28","128","2","247","665","619","93","142","36","5","304","8","4","0","22","0","0","0","5","0","0","41","15","3","0","6","1","0","12","4","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040813","Census Tract 408.13, Livingston Parish, Louisiana","4159","3905","2983","727","16","58","1","120","254","241","45","63","28","0","95","0","0","1","5","0","0","2","2","0","0","13","0","0","0","5","2","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040814","Census Tract 408.14, Livingston Parish, Louisiana","5258","4874","3818","867","16","66","0","107","384","375","76","70","12","3","208","1","4","0","0","0","0","0","0","1","0","9","1","4","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040903","Census Tract 409.03, Livingston Parish, Louisiana","3207","3030","2313","580","14","2","0","121","177","167","24","36","14","0","87","2","0","0","4","0","0","0","0","0","0","10","2","0","0","0","2","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040904","Census Tract 409.04, Livingston Parish, Louisiana","4025","3798","3515","185","5","27","1","65","227","213","31","71","6","6","95","1","2","0","1","0","0","0","0","0","0","13","4","0","0","0","0","0","7","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040905","Census Tract 409.05, Livingston Parish, Louisiana","3233","3114","2969","92","11","8","0","34","119","114","14","48","4","0","45","0","3","0","0","0","0","0","0","0","0","5","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22063040906","Census Tract 409.06, Livingston Parish, Louisiana","2062","1957","1767","156","0","4","0","30","105","99","5","32","3","2","50","0","1","0","0","0","0","1","1","4","0","6","1","1","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22065960100","Census Tract 9601, Madison Parish, Louisiana","1739","1674","1273","373","4","1","3","20","65","61","21","10","0","0","27","0","0","0","0","0","0","3","0","0","0","4","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22065960200","Census Tract 9602, Madison Parish, Louisiana","2441","2383","1340","1017","13","0","0","13","58","51","15","5","0","1","13","7","0","1","6","0","0","0","1","2","0","7","3","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22065960300","Census Tract 9603, Madison Parish, Louisiana","2335","2315","238","2072","2","0","1","2","20","18","12","1","0","0","1","1","0","0","0","0","0","1","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22065960400","Census Tract 9604, Madison Parish, Louisiana","1437","1412","41","1364","3","0","1","3","25","18","4","1","1","0","1","6","2","0","1","0","0","2","0","0","0","6","2","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22065960500","Census Tract 9605, Madison Parish, Louisiana","2065","2000","583","1398","7","5","0","7","65","57","28","6","0","0","6","9","2","1","2","0","0","0","2","0","1","6","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22067950100","Census Tract 9501, Morehouse Parish, Louisiana","1437","1356","1005","324","2","5","0","20","81","75","5","41","4","0","12","6","1","0","4","0","0","0","0","2","0","6","2","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22067950200","Census Tract 9502, Morehouse Parish, Louisiana","5401","5127","3893","1162","21","32","1","18","274","264","82","101","8","0","56","8","0","0","6","0","0","3","0","0","0","9","3","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22067950300","Census Tract 9503, Morehouse Parish, Louisiana","2478","2415","1749","632","15","8","0","11","63","61","11","19","10","1","14","4","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22067950400","Census Tract 9504, Morehouse Parish, Louisiana","2895","2839","277","2463","4","16","0","79","56","47","25","4","7","0","3","7","0","0","0","0","0","1","0","0","0","9","6","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22067950500","Census Tract 9505, Morehouse Parish, Louisiana","4243","4055","1407","2593","8","28","0","19","188","173","88","39","6","0","20","10","2","0","7","0","0","1","0","0","0","15","9","1","0","1","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22067950600","Census Tract 9506, Morehouse Parish, Louisiana","2695","2598","1655","919","6","0","2","16","97","85","26","32","2","0","17","7","0","0","0","0","0","1","0","0","0","10","0","1","0","1","1","0","1","0","0","3","1","2","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22067950700","Census Tract 9507, Morehouse Parish, Louisiana","3360","3276","2033","1206","20","7","0","10","84","71","15","30","4","0","16","1","2","0","2","0","0","1","0","0","0","8","2","0","0","0","3","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US22067950800","Census Tract 9508, Morehouse Parish, Louisiana","3120","3031","262","2749","9","0","0","11","89","80","47","7","3","0","3","16","4","0","0","0","0","0","0","0","0","8","1","4","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22069000100","Census Tract 1, Natchitoches Parish, Louisiana","1915","1846","1439","385","12","0","3","7","69","57","2","27","0","5","13","4","0","0","6","0","0","0","0","0","0","9","0","1","0","3","0","0","2","1","0","2","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US22069000200","Census Tract 2, Natchitoches Parish, Louisiana","2964","2779","1819","888","48","0","1","23","185","170","30","75","5","0","51","9","0","0","0","0","0","0","0","0","0","14","4","0","2","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
